********LEGEND FOR FIELD NAMES LOCATED AT BOTTOM OF FILE************
Station_Code,isSWMP,m/d/y hh:mm,See Legend,See Legend,See Legend, C,Flag Code See Legend,mS/cm,Flag Code See Legend,psu,Flag Code See Legend,%,Flag Code See Legend,mg/L,Flag Code See Legend,m,Flag Code,m,Flag Code See Legend,m,Flag Code See Legend,m,Flag Code See Legend,Units,Flag Code See Legend,FNU/NTU,Flag Code See Legend
"Station_Code","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","F_Record","Temp","F_Temp","SpCond","F_SpCond","Sal","F_Sal","DO_pct","F_DO_pct","DO_mgl","F_DO_mgl","Depth","F_Depth","cDepth","F_cDepth","Level","F_Level","cLevel","F_cLevel","pH","F_pH","Turb","F_Turb",
tjroswq,P,04/07/2022 00:00,1,1,,18.4,<0> ,46.20,<0> ,30.0,<0> ,0.7,<0> (CDA),0.1,<0> (CDA),,<-1> ,,,1.44,<5> [SIC] (CSM),1.41,<3> [GCC],7.4,<0> ,8,<0> ,
tjroswq,P,04/07/2022 00:15,1,1,,18.3,<0> ,46.40,<0> ,30.2,<0> ,0.7,<0> (CDA),0.1,<0> (CDA),,<-1> ,,,1.45,<5> [SIC] (CSM),1.42,<3> [GCC],7.4,<0> ,7,<0> ,
tjroswq,P,04/07/2022 00:30,1,1,,18.3,<0> ,46.66,<0> ,30.4,<0> ,0.7,<0> (CDA),0.1,<0> (CDA),,<-1> ,,,1.44,<5> [SIC] (CSM),1.41,<3> [GCC],7.4,<0> ,8,<0> ,
tjroswq,P,04/07/2022 00:45,1,1,,18.2,<0> ,47.02,<0> ,30.6,<0> ,0.7,<0> (CDA),0.1,<0> (CDA),,<-1> ,,,1.43,<5> [SIC] (CSM),1.40,<3> [GCC],7.4,<0> ,9,<0> ,
tjroswq,P,04/07/2022 01:00,1,1,,18.2,<0> ,47.16,<0> ,30.7,<0> ,0.7,<0> (CDA),0.1,<0> (CDA),,<-1> ,,,1.42,<5> [SIC] (CSM),1.39,<3> [GCC],7.4,<0> ,10,<0> ,
tjroswq,P,04/07/2022 01:15,1,1,,18.2,<0> ,47.24,<0> ,30.8,<0> ,0.7,<0> (CDA),0.1,<0> (CDA),,<-1> ,,,1.39,<5> [SIC] (CSM),1.36,<3> [GCC],7.4,<0> ,10,<0> ,
tjroswq,P,04/07/2022 01:30,1,1,,18.2,<0> ,47.28,<0> ,30.8,<0> ,0.7,<0> (CDA),0.1,<0> (CDA),,<-1> ,,,1.37,<5> [SIC] (CSM),1.34,<3> [GCC],7.4,<0> ,10,<0> ,
tjroswq,P,04/07/2022 01:45,1,1,,18.1,<0> ,47.35,<0> ,30.9,<0> ,0.7,<0> (CDA),0.1,<0> (CDA),,<-1> ,,,1.34,<5> [SIC] (CSM),1.31,<3> [GCC],7.4,<0> ,10,<0> ,
tjroswq,P,04/07/2022 02:00,1,1,,18.0,<0> ,47.43,<0> ,30.9,<0> ,0.7,<0> (CDA),0.1,<0> (CDA),,<-1> ,,,1.32,<5> [SIC] (CSM),1.29,<3> [GCC],7.4,<0> ,10,<0> ,
tjroswq,P,04/07/2022 02:15,1,1,,17.9,<0> ,47.46,<0> ,31.0,<0> ,0.7,<0> (CDA),0.1,<0> (CDA),,<-1> ,,,1.29,<5> [SIC] (CSM),1.26,<3> [GCC],7.4,<0> ,10,<0> ,
tjroswq,P,04/07/2022 02:30,1,1,,17.9,<0> ,47.57,<0> ,31.0,<0> ,0.7,<0> (CDA),0.1,<0> (CDA),,<-1> ,,,1.26,<5> [SIC] (CSM),1.23,<3> [GCC],7.4,<0> ,10,<0> ,
tjroswq,P,04/07/2022 02:45,1,1,,17.9,<0> ,47.67,<0> ,31.1,<0> ,0.7,<0> (CDA),0.1,<0> (CDA),,<-1> ,,,1.23,<5> [SIC] (CSM),1.20,<3> [GCC],7.4,<0> ,10,<0> ,
tjroswq,P,04/07/2022 03:00,1,1,,17.8,<0> ,47.77,<0> ,31.2,<0> ,0.7,<0> (CDA),0.1,<0> (CDA),,<-1> ,,,1.20,<5> [SIC] (CSM),1.18,<3> [GCC],7.4,<0> ,10,<0> ,
tjroswq,P,04/07/2022 03:15,1,1,,17.8,<0> ,47.88,<0> ,31.3,<0> ,0.7,<0> (CDA),0.1,<0> (CDA),,<-1> ,,,1.18,<5> [SIC] (CSM),1.16,<3> [GCC],7.4,<0> ,9,<0> ,
