SEGMENT,geometry,area_m2,centroid,x,y,long_index,long_pos,time,spcond,turb,water_level,water_level_mean,water_level_change,tidal_phase
218,"MULTIPOLYGON (((488009.67012238374 3602040.1091327826, 488040.38707140693 3602072.5422749803, 488047.43776960456 3602064.8766903123, 488037.9040889719 3602049.143905169, 488024.816164405 3602026.0449509057, 488009.67012238374 3602040.1091327826)))",678.0663248465152,POINT (488028.9851134861 3602048.9497565),488028.9851134861,3602048.9497565,0,1.0,2022-07-11 01:00:00,52.305,2.0,0.75,0.75,-0.14375000000000004,ebb
219,"MULTIPOLYGON (((487995.64195764286 3602053.135285756, 488032.5222799352 3602081.0929494295, 488040.38707140693 3602072.5422749803, 488009.67012238374 3602040.1091327826, 487995.64195764286 3602053.135285756)))",695.1669815013963,POINT (488018.1654933666 3602060.5213714275),488018.1654933666,3602060.5213714275,1,0.99375,2022-07-11 01:00:00,52.3149375,2.0140625,0.75,0.75,-0.14375000000000004,ebb
220,"MULTIPOLYGON (((487986.19445199496 3602061.907969572, 488021.25614807155 3602093.341592793, 488032.5222799352 3602081.0929494295, 487995.64195764286 3602053.135285756, 487986.19445199496 3602061.907969572)))",685.6315735373217,POINT (488009.6652142651 3602073.0372219463),488009.6652142651,3602073.0372219463,2,0.9875,2022-07-11 01:00:00,52.324875,2.0281249999999997,0.75,0.75,-0.14375000000000004,ebb
221,"MULTIPOLYGON (((487972.96192531846 3602074.1953157717, 488012.7356713384 3602102.6051343577, 488021.25614807155 3602093.341592793, 487986.19445199496 3602061.907969572, 487972.96192531846 3602074.1953157717)))",728.6362017727831,POINT (487997.17724217573 3602082.1648610584),487997.17724217573,3602082.1648610584,3,0.98125,2022-07-11 01:00:00,52.3348125,2.0421875000000003,0.75,0.75,-0.14375000000000004,ebb
222,"MULTIPOLYGON (((487964.0286112957 3602082.490535936, 488001.2887020333 3602115.0503858696, 488012.7356713384 3602102.6051343577, 487972.96192531846 3602074.1953157717, 487964.0286112957 3602082.490535936)))",710.0743070503071,POINT (487988.8032624102 3602094.4511118475),487988.8032624102,3602094.4511118475,4,0.975,2022-07-11 01:00:00,52.34475,2.05625,0.75,0.75,-0.14375000000000004,ebb
223,"MULTIPOLYGON (((487948.9372037333 3602096.503985815, 487993.7057677571 3602123.2946225535, 488001.2887020333 3602115.0503858696, 487964.0286112957 3602082.490535936, 487948.9372037333 3602096.503985815)))",792.8753274937864,POINT (487974.98794041545 3602102.9231592948),487974.98794041545,3602102.9231592948,5,0.96875,2022-07-11 01:00:00,52.3546875,2.0703125,0.75,0.75,-0.14375000000000004,ebb
224,"MULTIPOLYGON (((487936.841638479 3602107.7355821226, 487984.96212102403 3602132.800796618, 487993.7057677571 3602123.2946225535, 487948.9372037333 3602096.503985815, 487936.841638479 3602107.7355821226)))",751.7366986188806,POINT (487965.2322606798 3602114.6229072935),487965.2322606798,3602114.6229072935,6,0.9625,2022-07-11 01:00:00,52.364625000000004,2.084375,0.75,0.75,-0.14375000000000004,ebb
225,"MULTIPOLYGON (((487933.2127819658 3602126.1923873983, 487978.5515681741 3602139.77040931, 487984.96212102403 3602132.800796618, 487936.841638479 3602107.7355821226, 487930.74464995804 3602113.3970714635, 487933.2127819658 3602126.1923873983)))",737.0655236270871,POINT (487954.3457015486 3602124.7588283434),487954.3457015486,3602124.7588283434,7,0.95625,2022-07-11 01:00:00,52.3745625,2.0984374999999997,0.75,0.75,-0.14375000000000004,ebb
226,"MULTIPOLYGON (((487937.13680019905 3602146.535324029, 487976.80854617245 3602141.665439044, 487978.5515681741 3602139.77040931, 487933.2127819658 3602126.1923873983, 487937.13680019905 3602146.535324029)))",467.86723538052263,POINT (487950.66942274896 3602137.8669673633),487950.66942274896,3602137.8669673633,8,0.95,2022-07-11 01:00:00,52.3845,2.1125000000000003,0.75,0.75,-0.14375000000000004,ebb
227,"MULTIPOLYGON (((487940.52946079115 3602164.1235907828, 487976.449342379 3602151.9580651377, 487973.8599168372 3602144.8712162864, 487976.80854617245 3602141.665439044, 487937.13680019905 3602146.535324029, 487940.52946079115 3602164.1235907828)))",525.2107566484624,POINT (487955.37621513044 3602151.5316035138),487955.37621513044,3602151.5316035138,9,0.94375,2022-07-11 01:00:00,52.394437499999995,2.1265625,0.75,0.75,-0.14375000000000004,ebb
228,"MULTIPOLYGON (((487943.1250262118 3602177.5795483585, 487982.2382001657 3602167.8012548694, 487976.449342379 3602151.9580651377, 487940.52946079115 3602164.1235907828, 487943.1250262118 3602177.5795483585)))",595.5977034117509,POINT (487961.26110489754 3602165.24971354),487961.26110489754,3602165.24971354,10,0.9375,2022-07-11 01:00:00,52.404375,2.140625,0.75,0.75,-0.14375000000000004,ebb
229,"MULTIPOLYGON (((487945.8046002653 3602191.471024372, 487987.6708626201 3602182.6695942185, 487982.2382001657 3602167.8012548694, 487943.1250262118 3602177.5795483585, 487945.8046002653 3602191.471024372)))",619.919187214961,POINT (487965.08358541486 3602179.867890709),487965.08358541486,3602179.867890709,11,0.93125,2022-07-11 01:00:00,52.4143125,2.1546875,0.75,0.75,-0.14375000000000004,ebb
230,"MULTIPOLYGON (((487948.4355308201 3602205.110322249, 487993.30464442633 3602198.0883654775, 487987.6708626201 3602182.6695942185, 487945.8046002653 3602191.471024372, 487948.4355308201 3602205.110322249)))",662.7845731818853,POINT (487969.37309541006 3602194.300692913),487969.37309541006,3602194.300692913,12,0.925,2022-07-11 01:00:00,52.42425,2.1687499999999997,0.75,0.75,-0.14375000000000004,ebb
231,"MULTIPOLYGON (((487951.3204353301 3602220.0662745773, 487998.26725390507 3602211.670244051, 487993.30464442633 3602198.0883654775, 487948.4355308201 3602205.110322249, 487951.3204353301 3602220.0662745773)))",685.3051044187932,POINT (487972.5859531172 3602208.8387148986),487972.5859531172,3602208.8387148986,13,0.91875,2022-07-11 01:00:00,52.4341875,2.1828125000000003,0.75,0.75,-0.14375000000000004,ebb
232,"MULTIPOLYGON (((487953.9628126761 3602233.7649150286, 488003.7950007945 3602226.7988144853, 487998.26725390507 3602211.670244051, 487951.3204353301 3602220.0662745773, 487953.9628126761 3602233.7649150286)))",728.8448386488532,POINT (487977.35851656616 3602223.053742062),487977.35851656616,3602223.053742062,14,0.9125,2022-07-11 01:00:00,52.444125,2.196875,0.75,0.75,-0.14375000000000004,ebb
233,"MULTIPOLYGON (((487956.9047610594 3602249.0165948053, 488007.62493302184 3602240.250476289, 488006.62751966534 3602234.550971395, 488003.7950007945 3602226.7988144853, 487953.9628126761 3602233.7649150286, 487956.9047610594 3602249.0165948053)))",752.3872869954628,POINT (487980.2561323289 3602237.540331811),487980.2561323289,3602237.540331811,15,0.90625,2022-07-11 01:00:00,52.4540625,2.2109375,0.75,0.75,-0.14375000000000004,ebb
234,"MULTIPOLYGON (((487959.57809614146 3602262.875726678, 488010.2875037335 3602255.4651660696, 488007.62493302184 3602240.250476289, 487956.9047610594 3602249.0165948053, 487959.57809614146 3602262.875726678)))",758.8156855460561,POINT (487983.98011935595 3602251.834979525),487983.98011935595,3602251.834979525,16,0.9,2022-07-11 01:00:00,52.464,2.225,0.75,0.75,-0.14375000000000004,ebb
235,"MULTIPOLYGON (((487962.1842026686 3602276.386331569, 488012.93727530295 3602270.6067178953, 488010.2875037335 3602255.4651660696, 487959.57809614146 3602262.875726678, 487962.1842026686 3602276.386331569)))",744.1112081020401,POINT (487986.7174081867 3602266.2662894153),487986.7174081867,3602266.2662894153,17,0.89375,2022-07-11 01:00:00,52.4739375,2.2390624999999997,0.75,0.75,-0.14375000000000004,ebb
236,"MULTIPOLYGON (((487962.32353802986 3602277.1086754156, 488016.8570646671 3602293.005514262, 488012.93727530295 3602270.6067178953, 487962.1842026686 3602276.386331569, 487962.32353802986 3602277.1086754156)))",598.3197863702624,POINT (487996.8020282961 3602280.066855092),487996.8020282961,3602280.066855092,18,0.8875,2022-07-11 01:00:00,52.483875000000005,2.2531250000000003,0.75,0.75,-0.14375000000000004,ebb
237,"MULTIPOLYGON (((487960.15450244263 3602289.6369579947, 488015.6663918693 3602309.446644342, 488018.6997943915 3602303.5353984013, 488016.8570646671 3602293.005514262, 487962.32353802986 3602277.1086754156, 487963.5122527862 3602283.271222968, 487960.15450244263 3602289.6369579947)))",834.2660785221001,POINT (487991.01442766277 3602293.082940265),487991.01442766277,3602293.082940265,19,0.88125,2022-07-11 01:00:00,52.493812500000004,2.2671875,0.75,0.75,-0.14375000000000004,ebb
238,"MULTIPOLYGON (((487954.0352175716 3602301.2381022293, 488008.31564322463 3602323.771180162, 488015.6663918693 3602309.446644342, 487960.15450244263 3602289.6369579947, 487954.0352175716 3602301.2381022293)))",854.1997218093597,POINT (487985.4816732018 3602306.388866814),487985.4816732018,3602306.388866814,20,0.875,2022-07-11 01:00:00,52.50375,2.28125,0.75,0.75,-0.14375000000000004,ebb
239,"MULTIPOLYGON (((487946.6311884362 3602315.274907465, 488001.8075094126 3602336.4536973345, 488008.31564322463 3602323.771180162, 487954.0352175716 3602301.2381022293, 487946.6311884362 3602315.274907465)))",883.1841826339696,POINT (487977.211864386 3602318.994456131),487977.211864386,3602318.994456131,21,0.86875,2022-07-11 01:00:00,52.513687499999996,2.2953125,0.75,0.75,-0.14375000000000004,ebb
240,"MULTIPOLYGON (((487940.131810297 3602327.596645187, 487994.69163440104 3602350.3205306907, 488001.8075094126 3602336.4536973345, 487946.6311884362 3602315.274907465, 487940.131810297 3602327.596645187)))",867.8947186216602,POINT (487971.3318611417 3602332.6217287756),487971.3318611417,3602332.6217287756,22,0.8625,2022-07-11 01:00:00,52.523625,2.309375,0.75,0.75,-0.14375000000000004,ebb
241,"MULTIPOLYGON (((487933.2061595213 3602340.726524783, 487987.85780094605 3602363.6377446027, 487994.69163440104 3602350.3205306907, 487940.131810297 3602327.596645187, 487933.2061595213 3602340.726524783)))",879.0603382555935,POINT (487964.01232723525 3602345.5910943444),487964.01232723525,3602345.5910943444,23,0.85625,2022-07-11 01:00:00,52.5335625,2.3234375,0.75,0.75,-0.14375000000000004,ebb
242,"MULTIPOLYGON (((487926.9896449131 3602352.512000394, 487980.0394500981 3602378.8735052296, 487987.85780094605 3602363.6377446027, 487933.2061595213 3602340.726524783, 487926.9896449131 3602352.512000394)))",900.4405733047697,POINT (487958.144250236 3602359.454265441),487958.144250236,3602359.454265441,24,0.85,2022-07-11 01:00:00,52.543499999999995,2.3375,0.75,0.75,-0.14375000000000004,ebb
243,"MULTIPOLYGON (((487920.0646162608 3602365.6407005475, 487973.28632833716 3602392.0334348152, 487980.0394500981 3602378.8735052296, 487926.9896449131 3602352.512000394, 487920.0646162608 3602365.6407005475)))",878.828246621452,POINT (487950.0789202925 3602372.260801915),487950.0789202925,3602372.260801915,25,0.84375,2022-07-11 01:00:00,52.5534375,2.3515625,0.75,0.75,-0.14375000000000004,ebb
244,"MULTIPOLYGON (((487913.04145119915 3602378.9554509767, 487966.70514989964 3602404.85829536, 487973.28632833716 3602392.0334348152, 487920.0646162608 3602365.6407005475, 487913.04145119915 3602378.9554509767)))",876.3475179932742,POINT (487943.0810224427 3602385.2811751775),487943.0810224427,3602385.2811751775,26,0.8375,2022-07-11 01:00:00,52.563375,2.365625,0.75,0.75,-0.14375000000000004,ebb
245,"MULTIPOLYGON (((487905.6811331085 3602392.909387357, 487960.26348440367 3602417.4112845315, 487966.70514989964 3602404.85829536, 487913.04145119915 3602378.9554509767, 487905.6811331085 3602392.909387357)))",891.2388510418994,POINT (487935.920304757 3602398.3034762796),487935.920304757,3602398.3034762796,27,0.83125,2022-07-11 01:00:00,52.5733125,2.3796875,0.75,0.75,-0.14375000000000004,ebb
246,"MULTIPOLYGON (((487899.89120867907 3602403.886119088, 487951.1818613835 3602434.8162740814, 487951.43997806 3602434.605809714, 487960.26348440367 3602417.4112845315, 487905.6811331085 3602392.909387357, 487899.89120867907 3602403.886119088)))",958.5952011919607,POINT (487931.27326167916 3602413.3192987796),487931.27326167916,3602413.3192987796,28,0.825,2022-07-11 01:00:00,52.58325,2.39375,0.75,0.75,-0.14375000000000004,ebb
247,"MULTIPOLYGON (((487893.7587897428 3602415.5121633215, 487936.1716329653 3602447.0553834066, 487951.1818613835 3602434.8162740814, 487899.89120867907 3602403.886119088, 487893.7587897428 3602415.5121633215)))",889.275214398383,POINT (487921.69303165976 3602426.102096055),487921.69303165976,3602426.102096055,29,0.81875,2022-07-11 01:00:00,52.5931875,2.4078125,0.75,0.75,-0.14375000000000004,ebb
248,"MULTIPOLYGON (((487887.9258662899 3602426.570414034, 487920.1721672756 3602460.1011015847, 487936.1716329653 3602447.0553834066, 487893.7587897428 3602415.5121633215, 487887.9258662899 3602426.570414034)))",805.0751409862627,POINT (487911.18588196393 3602438.547909287),487911.18588196393,3602438.547909287,30,0.8125,2022-07-11 01:00:00,52.603125000000006,2.421875,0.75,0.75,-0.14375000000000004,ebb
249,"MULTIPOLYGON (((487880.66857008624 3602440.251917678, 487909.28804731445 3602468.975845553, 487920.1721672756 3602460.1011015847, 487887.9258662899 3602426.570414034, 487880.7309403782 3602440.2107944083, 487880.66857008624 3602440.251917678)))",625.2951749624351,POINT (487899.4876708181 3602448.715191201),487899.4876708181,3602448.715191201,31,0.80625,2022-07-11 01:00:00,52.6130625,2.4359375,0.75,0.75,-0.14375000000000004,ebb
250,"MULTIPOLYGON (((487872.7586840594 3602445.467227146, 487894.85090134194 3602480.747672269, 487909.28804731445 3602468.975845553, 487880.66857008624 3602440.251917678, 487872.7586840594 3602445.467227146)))",572.9385580693964,POINT (487890.74607320834 3602460.6288041943),487890.74607320834,3602460.6288041943,32,0.8,2022-07-11 01:00:00,52.623,2.45,0.75,0.75,-0.14375000000000004,ebb
251,"MULTIPOLYGON (((487861.78453709185 3602452.7029284434, 487882.0896368665 3602491.153010995, 487894.85090134194 3602480.747672269, 487872.7586840594 3602445.467227146, 487861.78453709185 3602452.7029284434)))",624.4892943394268,POINT (487878.21277359355 3602468.1980771236),487878.21277359355,3602468.1980771236,33,0.79375,2022-07-11 01:00:00,52.632937500000004,2.4640625,0.75,0.75,-0.14375000000000004,ebb
252,"MULTIPOLYGON (((487851.64638686593 3602459.3874230976, 487869.04280643846 3602501.7911958057, 487882.0896368665 3602491.153010995, 487861.78453709185 3602452.7029284434, 487851.64638686593 3602459.3874230976)))",631.9216012451163,POINT (487866.58687826537 3602477.306442834),487866.58687826537,3602477.306442834,34,0.7875,2022-07-11 01:00:00,52.642875000000004,2.478125,0.75,0.75,-0.14375000000000004,ebb
253,"MULTIPOLYGON (((487836.6752090111 3602469.258529376, 487858.6074407915 3602510.3000324103, 487869.04280643846 3602501.7911958057, 487851.64638686593 3602459.3874230976, 487836.6752090111 3602469.258529376)))",710.7285984236557,POINT (487853.45854962594 3602484.1537241433),487853.45854962594,3602484.1537241433,35,0.78125,2022-07-11 01:00:00,52.6528125,2.4921875,0.75,0.75,-0.14375000000000004,ebb
254,"MULTIPOLYGON (((487825.6244355221 3602476.544753654, 487845.7120401001 3602520.8147437433, 487858.6074407915 3602510.3000324103, 487836.6752090111 3602469.258529376, 487825.6244355221 3602476.544753654)))",697.7190688353237,POINT (487841.9906384589 3602494.999594493),487841.9906384589,3602494.999594493,36,0.775,2022-07-11 01:00:00,52.66275,2.50625,0.75,0.75,-0.14375000000000004,ebb
255,"MULTIPOLYGON (((487809.7268283912 3602487.0266924216, 487837.0924763313 3602527.588423558, 487839.3402841742 3602526.010175498, 487845.7120401001 3602520.8147437433, 487825.6244355221 3602476.544753654, 487809.7268283912 3602487.0266924216)))",725.478318648745,POINT (487828.4458930064 3602501.1024807333),487828.4458930064,3602501.1024807333,37,0.76875,2022-07-11 01:00:00,52.672687499999995,2.5203125,0.75,0.75,-0.14375000000000004,ebb
